STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,coicop,Classification of individual consumption by purpose (COICOP),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,BG,Bulgaria,2014,,-1.6,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,BG,Bulgaria,2015,,-1.1,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,BG,Bulgaria,2016,,-1.3,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,BG,Bulgaria,2017,,1.2,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,BG,Bulgaria,2018,,2.6,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,BG,Bulgaria,2019,,2.5,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,BG,Bulgaria,2020,,1.2,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,BG,Bulgaria,2021,,2.8,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,BG,Bulgaria,2022,,13.0,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,BG,Bulgaria,2023,,8.6,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,BG,Bulgaria,2024,,2.6,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,CH,Switzerland,2013,,0.1,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,CH,Switzerland,2014,,0.0,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,CH,Switzerland,2015,,-0.8,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,CH,Switzerland,2016,,-0.5,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,CH,Switzerland,2017,,0.6,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,CH,Switzerland,2018,,0.9,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,CH,Switzerland,2019,,0.4,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,CH,Switzerland,2020,,-0.8,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,CH,Switzerland,2021,,0.5,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,CH,Switzerland,2022,,2.7,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,CH,Switzerland,2023,,2.3,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,CH,Switzerland,2024,,1.1,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,CY,Cyprus,2013,,0.4,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,CY,Cyprus,2014,,-0.3,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,CY,Cyprus,2015,,-1.5,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,CY,Cyprus,2016,,-1.2,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,CY,Cyprus,2017,,0.7,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,CY,Cyprus,2018,,0.8,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,CY,Cyprus,2019,,0.5,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,CY,Cyprus,2020,,-1.1,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,CY,Cyprus,2021,,2.3,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,CY,Cyprus,2022,,8.1,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,CY,Cyprus,2023,,3.9,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,CY,Cyprus,2024,,2.3,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,CZ,Czechia,2013,,1.4,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,CZ,Czechia,2014,,0.4,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,CZ,Czechia,2015,,0.3,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,CZ,Czechia,2016,,0.6,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,CZ,Czechia,2017,,2.4,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,CZ,Czechia,2018,,2.0,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,CZ,Czechia,2019,,2.6,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,CZ,Czechia,2020,,3.3,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,CZ,Czechia,2021,,3.3,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,CZ,Czechia,2022,,14.8,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,CZ,Czechia,2023,,12.0,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,CZ,Czechia,2024,,2.7,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,DE,Germany,2013,,1.6,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,DE,Germany,2014,,0.8,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,DE,Germany,2015,,0.7,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,DE,Germany,2016,,0.4,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,DE,Germany,2017,,1.7,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,DE,Germany,2018,,1.9,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,DE,Germany,2019,,1.4,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,DE,Germany,2020,,0.4,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,DE,Germany,2021,,3.2,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,DE,Germany,2022,,8.7,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,DE,Germany,2023,,6.0,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,DE,Germany,2024,,2.5,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,DK,Denmark,2013,,0.5,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,DK,Denmark,2014,,0.4,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,DK,Denmark,2015,,0.2,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,DK,Denmark,2016,,0.0,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,DK,Denmark,2017,,1.1,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,DK,Denmark,2018,,0.7,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,DK,Denmark,2019,,0.7,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,DK,Denmark,2020,,0.3,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,DK,Denmark,2021,,1.9,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,DK,Denmark,2022,,8.5,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,DK,Denmark,2023,,3.4,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,DK,Denmark,2024,,1.3,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EA19,Euro area - 19 countries  (2015-2022),2013,,1.3,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EA19,Euro area - 19 countries  (2015-2022),2014,,0.4,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EA19,Euro area - 19 countries  (2015-2022),2015,,0.2,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EA19,Euro area - 19 countries  (2015-2022),2016,,0.2,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EA19,Euro area - 19 countries  (2015-2022),2017,,1.5,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EA19,Euro area - 19 countries  (2015-2022),2018,,1.8,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EA19,Euro area - 19 countries  (2015-2022),2019,,1.2,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EA19,Euro area - 19 countries  (2015-2022),2020,,0.3,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EA19,Euro area - 19 countries  (2015-2022),2021,,2.6,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EA19,Euro area - 19 countries  (2015-2022),2022,,8.4,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EA19,Euro area - 19 countries  (2015-2022),2023,,5.4,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EA19,Euro area - 19 countries  (2015-2022),2024,,2.4,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2013,,1.4,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2014,,0.4,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2015,,0.2,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2016,,0.2,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2017,,1.5,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2018,,1.8,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2019,,1.2,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2020,,0.3,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2021,,2.6,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2022,,8.4,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2023,,5.4,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2024,,2.4,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EE,Estonia,2013,,3.2,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EE,Estonia,2014,,0.5,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EE,Estonia,2015,,0.1,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EE,Estonia,2016,,0.8,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EE,Estonia,2017,,3.7,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EE,Estonia,2018,,3.4,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EE,Estonia,2019,,2.3,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EE,Estonia,2020,,-0.6,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EE,Estonia,2021,,4.5,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EE,Estonia,2022,,19.4,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EE,Estonia,2023,,9.1,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EE,Estonia,2024,,3.7,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EL,Greece,2013,,-0.9,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EL,Greece,2014,,-1.4,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EL,Greece,2015,,-1.1,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EL,Greece,2016,,0.0,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EL,Greece,2017,,1.1,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EL,Greece,2018,,0.8,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EL,Greece,2019,,0.5,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EL,Greece,2020,,-1.3,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EL,Greece,2021,,0.6,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,EL,Greece,2022,,9.3,,,,,
